,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,54.75,74,94,30.87,overcast clouds
1,Singkang,MY,2.1006,102.7994,87.69,73,96,3.89,overcast clouds
2,Dongsheng,CN,39.8161,109.9776,46.67,33,11,10.6,few clouds
3,Hermanus,ZA,-34.4187,19.2345,61.81,74,93,13.8,light rain
4,Bethel,US,41.3712,-73.414,56.35,83,20,1.99,few clouds
5,Banamba,ML,13.55,-7.45,78.64,28,96,4.72,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,0,3.44,clear sky
7,Beringovskiy,RU,63.05,179.3167,3.2,92,68,12.57,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,65.91,49,100,4.0,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,72.86,75,100,15.39,overcast clouds
10,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,19.57,broken clouds
11,Nador,MA,35.174,-2.9287,68.25,73,0,8.05,clear sky
12,Yellowknife,CA,62.456,-114.3525,33.42,99,90,13.8,overcast clouds
13,Busselton,AU,-33.65,115.3333,60.08,52,82,20.92,broken clouds
14,Albany,US,42.6001,-73.9662,53.8,80,43,11.63,scattered clouds
15,Acapulco,MX,16.8634,-99.8901,78.15,86,66,4.07,broken clouds
16,Alyangula,AU,-13.8483,136.4192,93.07,52,40,13.8,light rain
17,Fryanovo,RU,56.1333,38.45,37.72,87,7,6.15,clear sky
18,Jacareacanga,BR,-6.2222,-57.7528,73.47,92,91,0.85,overcast clouds
19,Idrinskoye,RU,54.3708,92.1358,31.77,51,100,18.16,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,46.51,57,0,8.05,clear sky
21,Phayao,TH,19.25,100.25,77.85,57,68,1.23,broken clouds
22,Georgetown,MY,5.4112,100.3354,89.53,70,20,3.0,few clouds
23,Mataura,NZ,-46.1927,168.8643,53.47,78,99,8.52,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,60.1,87,75,1.99,light rain
25,Narsaq,GL,60.9167,-46.05,25.02,64,30,7.58,scattered clouds
26,Aras,ES,42.5617,-2.356,53.71,94,90,4.61,overcast clouds
27,Conceicao Da Barra,BR,-18.5933,-39.7322,72.99,90,95,7.29,overcast clouds
28,Isangel,VU,-19.55,169.2667,77.05,64,74,12.82,broken clouds
29,Vardo,NO,70.3705,31.1107,34.0,76,96,17.76,overcast clouds
30,Hithadhoo,MV,-0.6,73.0833,82.96,73,88,19.73,overcast clouds
31,Torbay,CA,47.6666,-52.7314,46.58,94,90,14.97,light intensity drizzle
32,Puerto Ayora,EC,-0.7393,-90.3518,68.67,93,34,6.42,scattered clouds
33,Hilo,US,19.7297,-155.09,76.73,83,90,3.44,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,78.48,78,60,8.95,broken clouds
35,Upernavik,GL,72.7868,-56.1549,27.28,95,100,7.0,light snow
36,Misratah,LY,32.3754,15.0925,73.2,50,67,10.8,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,61.29,70,100,8.77,overcast clouds
38,Dzaoudzi,YT,-12.7887,45.2699,82.29,69,20,10.36,few clouds
39,Sakakah,SA,29.9697,40.2064,69.37,34,100,10.74,overcast clouds
40,Yenagoa,NG,4.9247,6.2642,74.71,94,100,1.59,light rain
41,Fengrun,CN,39.8333,118.1167,53.74,48,6,7.07,clear sky
42,Tiksi,RU,71.6872,128.8694,5.36,89,96,7.45,overcast clouds
43,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
44,Maumere,ID,-8.6199,122.2111,86.72,66,57,3.49,light rain
45,Codrington,AU,-38.2667,141.9667,62.69,68,0,13.15,clear sky
46,Barrow,US,71.2906,-156.7887,19.42,86,40,13.8,scattered clouds
47,Bathsheba,BB,13.2167,-59.5167,74.01,88,75,17.27,broken clouds
48,Mareeba,AU,-17.0,145.4333,87.44,59,78,12.17,broken clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,20,20.71,few clouds
50,Akureyri,IS,65.6835,-18.0878,33.73,86,90,16.11,light rain
51,Clyde River,CA,70.4692,-68.5914,20.41,91,100,5.28,overcast clouds
52,East London,ZA,-33.0153,27.9116,69.08,72,95,13.33,overcast clouds
53,Pacific Grove,US,36.6177,-121.9166,59.11,82,90,1.01,overcast clouds
