,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,55.09,78,40,5.99,US,2021-10-31 21:18:55
1,Bambous Virieux,-20.3428,57.7575,71.85,83,40,3.44,MU,2021-10-31 21:23:19
2,Rikitea,-23.1203,-134.9692,73.51,87,71,8.1,PF,2021-10-31 21:23:20
3,Chipinge,-20.1883,32.6236,62.96,76,0,4.94,ZW,2021-10-31 21:23:20
4,Nador,35.174,-2.9287,70.05,73,0,9.22,MA,2021-10-31 21:23:21
5,Saint-Philippe,-21.3585,55.7679,69.39,86,33,10.0,RE,2021-10-31 21:23:21
6,Cape Town,-33.9258,18.4232,65.08,72,75,11.5,ZA,2021-10-31 21:20:24
7,Srednekolymsk,67.45,153.6833,-7.69,99,97,6.87,RU,2021-10-31 21:18:30
8,Ribeira Grande,38.5167,-28.7,68.4,94,75,4.61,PT,2021-10-31 21:23:21
9,Gunupur,19.0833,83.8167,72.99,93,38,1.25,IN,2021-10-31 21:23:22
10,Norman Wells,65.282,-126.8329,23.04,93,75,8.05,CA,2021-10-31 21:20:35
11,Tiksi,71.6872,128.8694,17.64,78,100,15.19,RU,2021-10-31 21:23:22
12,Duldurga,50.6761,113.5931,26.2,67,22,2.68,RU,2021-10-31 21:23:22
13,Bredasdorp,-34.5322,20.0403,57.27,77,100,8.75,ZA,2021-10-31 21:23:22
14,Punta Arenas,-53.15,-70.9167,51.91,62,0,17.27,CL,2021-10-31 21:22:28
15,Nago,26.5881,127.9761,73.56,79,41,10.38,JP,2021-10-31 21:23:23
16,Busselton,-33.65,115.3333,54.09,65,93,20.04,AU,2021-10-31 21:23:23
17,Albany,42.6001,-73.9662,58.59,76,98,1.99,US,2021-10-31 21:23:24
18,Cherskiy,68.75,161.3,-2.0,99,100,4.97,RU,2021-10-31 21:23:24
19,Avarua,-21.2078,-159.775,75.25,69,75,14.97,CK,2021-10-31 21:23:24
20,Ushuaia,-54.8,-68.3,55.06,44,0,6.91,AR,2021-10-31 21:22:14
21,Dikson,73.5069,80.5464,6.98,93,100,11.86,RU,2021-10-31 21:21:05
22,Luderitz,-26.6481,15.1594,60.71,82,44,5.86,NA,2021-10-31 21:23:25
23,Yellowknife,62.456,-114.3525,34.41,91,40,10.36,CA,2021-10-31 21:23:25
24,San Cristobal,7.7669,-72.225,75.38,92,59,2.39,VE,2021-10-31 21:23:25
25,Bermejo,-32.8833,-68.8,55.31,76,90,3.44,AR,2021-10-31 21:23:25
26,Kaitangata,-46.2817,169.8464,53.58,52,77,7.34,NZ,2021-10-31 21:22:08
27,Rockport,28.0206,-97.0544,84.22,59,1,5.01,US,2021-10-31 21:20:57
28,Bethel,41.3712,-73.414,62.96,73,90,1.01,US,2021-10-31 21:23:26
29,Atuona,-9.8,-139.0333,78.6,76,5,20.76,PF,2021-10-31 21:23:26
30,Khatanga,71.9667,102.5,5.74,96,100,10.78,RU,2021-10-31 21:23:27
31,Pisco,-13.7,-76.2167,68.05,68,0,23.02,PE,2021-10-31 21:23:27
32,Cockburn Town,21.4612,-71.1419,84.16,65,20,0.0,TC,2021-10-31 21:20:42
33,East London,-33.0153,27.9116,66.09,82,89,12.84,ZA,2021-10-31 21:22:30
34,Arraial Do Cabo,-22.9661,-42.0278,71.56,94,90,9.22,BR,2021-10-31 21:23:27
35,Georgetown,5.4112,100.3354,77.95,93,20,2.3,MY,2021-10-31 21:23:28
36,Nikolskoye,59.7035,30.7861,48.02,85,100,7.67,RU,2021-10-31 21:23:28
37,Torbay,47.6666,-52.7314,43.57,93,90,12.66,CA,2021-10-31 21:23:28
38,Port Alfred,-33.5906,26.891,66.54,83,81,15.77,ZA,2021-10-31 21:23:29
39,Gerash,27.6652,54.1371,66.34,30,0,6.33,IR,2021-10-31 21:23:29
40,Cauquenes,-35.9671,-72.3225,71.91,38,85,11.1,CL,2021-10-31 21:23:29
41,Puerto Ayora,-0.7393,-90.3518,75.16,79,40,8.43,EC,2021-10-31 21:23:30
42,Talnakh,69.4865,88.3972,-10.8,99,89,5.93,RU,2021-10-31 21:23:30
43,Elliot Lake,46.3834,-82.6331,48.29,87,83,12.39,CA,2021-10-31 21:23:30
44,Souillac,-20.5167,57.5167,71.98,83,40,3.44,MU,2021-10-31 21:23:31
45,Taoudenni,22.6783,-3.9836,84.31,17,0,9.91,ML,2021-10-31 21:24:31
46,Berlevag,70.8578,29.0864,33.75,86,0,11.5,NO,2021-10-31 21:21:13
47,Viedma,-40.8135,-62.9967,54.16,67,100,12.59,AR,2021-10-31 21:24:31
48,Baie-Comeau,49.2168,-68.1489,51.1,93,90,23.02,CA,2021-10-31 21:24:32
49,Sorland,67.667,12.6934,50.07,84,100,22.21,NO,2021-10-31 21:24:32
50,Kruisfontein,-34.0033,24.7314,62.89,82,65,4.32,ZA,2021-10-31 21:24:32
51,Nanortalik,60.1432,-45.2371,34.03,74,63,10.71,GL,2021-10-31 21:21:39
52,Haines Junction,60.7522,-137.5108,44.55,36,100,3.44,CA,2021-10-31 21:24:33
53,Hasilpur,29.7122,72.5553,71.6,17,0,4.92,PK,2021-10-31 21:24:33
54,Qui Nhon,13.7667,109.2333,76.17,90,94,6.69,VN,2021-10-31 21:24:33
55,Kaeo,-35.1,173.7833,63.32,66,64,5.68,NZ,2021-10-31 21:24:33
56,Shetpe,44.1667,52.1167,48.13,49,5,8.59,KZ,2021-10-31 21:24:34
57,Lebu,-37.6167,-73.65,57.34,77,96,8.66,CL,2021-10-31 21:20:57
58,Hilo,19.7297,-155.09,83.25,68,1,9.22,US,2021-10-31 21:24:34
59,Caravelas,-17.7125,-39.2481,75.61,80,91,8.5,BR,2021-10-31 21:24:35
60,Bengkulu,-3.8004,102.2655,76.23,88,100,5.01,ID,2021-10-31 21:21:09
61,Iringa,-7.7667,35.7,61.57,83,99,3.96,TZ,2021-10-31 21:24:35
62,Maniitsoq,65.4167,-52.9,35.91,94,99,13.2,GL,2021-10-31 21:24:35
63,Meulaboh,4.1363,96.1285,75.42,89,100,4.36,ID,2021-10-31 21:24:36
64,Bilma,18.6853,12.9164,81.48,21,1,10.33,NE,2021-10-31 21:24:36
65,New Norfolk,-42.7826,147.0587,56.91,59,100,1.99,AU,2021-10-31 21:20:52
66,Kloulklubed,7.0419,134.2556,77.5,70,99,4.18,PW,2021-10-31 21:20:43
67,Ennis,52.8436,-8.9864,49.93,81,75,18.41,IE,2021-10-31 21:24:36
68,Marsh Harbour,26.5412,-77.0636,77.18,63,89,8.97,BS,2021-10-31 21:23:51
69,Shirokiy,49.758,129.523,23.4,43,18,1.52,RU,2021-10-31 21:24:09
70,Flin Flon,54.7682,-101.865,33.64,93,90,10.36,CA,2021-10-31 21:24:37
71,Kant,27.8,79.8,65.03,57,0,3.06,IN,2021-10-31 21:24:37
72,Oktyabrskiy,54.4815,53.471,44.28,83,64,9.8,RU,2021-10-31 21:24:38
73,Hobart,-42.8794,147.3294,57.25,64,75,3.0,AU,2021-10-31 21:24:38
74,Pevek,69.7008,170.3133,-0.63,97,100,4.18,RU,2021-10-31 21:21:32
75,Baykit,61.67,96.37,18.43,97,100,2.19,RU,2021-10-31 21:24:38
76,Ishigaki,24.3448,124.1572,75.33,73,20,10.36,JP,2021-10-31 21:24:39
77,Port Elizabeth,-33.918,25.5701,65.1,94,0,9.22,ZA,2021-10-31 21:24:39
78,Kodiak,57.79,-152.4072,45.91,87,90,16.11,US,2021-10-31 21:24:39
79,Micheweni,-4.9667,39.8333,78.89,83,8,9.04,TZ,2021-10-31 21:24:39
80,Isangel,-19.55,169.2667,77.88,73,43,7.36,VU,2021-10-31 21:22:47
81,Xuddur,4.1213,43.8894,75.34,66,51,17.54,SO,2021-10-31 21:24:40
82,Eilenburg,51.4598,12.6334,55.49,66,49,10.0,DE,2021-10-31 21:24:40
83,Coquimbo,-29.9533,-71.3436,60.53,72,75,10.36,CL,2021-10-31 21:23:16
84,Codrington,-38.2667,141.9667,48.31,88,8,4.79,AU,2021-10-31 21:24:41
85,Presidencia Roque Saenz Pena,-26.7852,-60.4388,97.72,22,44,9.51,AR,2021-10-31 21:20:10
86,College,64.8569,-147.8028,51.46,45,75,16.11,US,2021-10-31 21:24:41
87,Ambon,-3.6954,128.1814,75.34,94,20,4.61,ID,2021-10-31 21:24:41
88,Pangoa,-12.1167,-73.0,80.37,72,98,1.07,PE,2021-10-31 21:24:42
89,Anzio,41.4853,12.6179,64.44,92,100,14.92,IT,2021-10-31 21:25:42
90,Maneadero,31.7167,-116.5667,71.19,75,4,3.0,MX,2021-10-31 21:25:42
91,Denpasar,-8.65,115.2167,78.46,88,75,4.61,ID,2021-10-31 21:25:42
